Tuesday,01/07/25,25200
Wednesday,02/07/25,7200
Thursday,03/07/25,0
Friday,04/07/25,5400
Saturday,05/07/25,3600
Sunday,06/07/25,0
eow
Monday,07/07/25,7200
Tuesday,08/07/25,3600
Wednesday,09/07/25,0
Thursday,10/07/25,25200
Friday,11/07/25,28800
Saturday,12/07/25,25200
Sunday,13/07/25,28800
eow
Monday,14/07/25,3600
Tuesday,15/07/25,5400
Wednesday,16/07/25,7200
Thursday,17/07/25,3600
Friday,18/07/25,0
Saturday,19/07/25,25200
Sunday,20/07/25,28800
eow
Monday,21/07/25,28800
Tuesday,22/07/25,7200
Wednesday,23/07/25,25200
Thursday,24/07/25,0
Friday,25/07/25,28800
Saturday,26/07/25,3600
Sunday,27/07/25,7200
eow
Monday,28/07/25,3600
Tuesday,29/07/25,5400
Wednesday,30/07/25,7200
Thursday,31/07/25,25200Saturday,12/07/25,0
Saturday,12/07/25,0
Sunday,13/07/25,0
eow
Tuesday,15/07/25,22.09665560722351
